Cod;PRODUTO;ATACADO;VAREJO;;;;;
4402;CREPE AMANDA; R$14,88 ; R$17,50 ;;;;;
2767;ALGODÃO CRU 1,75L; R$16,92 ; R$19,90 ;;;;;
2768;ALGODÃO CRU 2,2L; R$22,02 ; R$25,90 ;;;;;
2770;ATOALHADO MAGICO; R$18,62 ; R$21,90 ;;;;;
13290;CETIM BUCOL; R$14,37 ; R$19,90 ;;;;;
3710;CETIM ELASTANO; R$9,27 ; R$11,90 ;;;;;
3670;CETIM TINTO; R$5,02 ; R$6,50 ;;;;;
4072;CHITA POLY; R$6,38 ; R$7,50 ;;;;;
4682;DUNA; R$10,97 ; R$12,90 ;;;;;
15477;FILÓ PREMIUM; R$16,92 ; R$19,90 ;;;;;
5747;GABARDINE; R$12,67 ; R$14,90 ;;;;;
7312;HELANCA MT; R$8,42 ; R$9,90 ;;;;;
5787;JACQUARD; R$22,87 ; R$26,90 ;;;;;
5888;JUTA; R$16,58 ; R$19,50 ;;;;;
5889;JUTA OURO; R$26,78 ; R$31,50 ;;;;;
5919;LAISE ALGODÃO; R$36,13 ; R$42,50 ;;;;;
13430;LINHO MISTO; R$14,37 ; R$18,90 ;;;;;
6344;LINHO PURO; R$93,42 ; R$109,90 ;;;;;
8369;MATELASSE 2,4M; R$23,72 ; R$27,90 ;;;;;
8453;TENCEL; R$25,42 ; R$29,90 ;;;;;
8494;FLEECE; R$14,37 ; R$39,90 ;;;;;
8745;MUSSELINE SEDA; R$16,92 ; R$19,90 ;;;;;
14527;NEW LOOK; R$14,03 ; R$16,50 ;;;;;
8785;ORGANZA; R$8,42 ; R$9,90 ;;;;;
9026;OXFORD 1,47M; R$7,44 ; R$8,75 ;;;;;
8906;OXFORD 3M; R$16,58 ; R$19,50 ;;;;;
14402;OXFORD EST; R$12,67 ; R$14,90 ;;;;;
9109;OXFORDINE; R$10,97 ; R$12,90 ;;;;;
9692;PERCAL 180/230 FIOS; R$25,42 ; R$29,90 ;;;;;
9532;PERCAL 400 FIOS; R$83,22 ; R$97,90 ;;;;;
9778;PERCAL POLY; R$12,67 ; R$14,90 ;;;;;
15428;PRADA; R$16,92 ; R$19,90 ;;;;;
10366;SACARIA; R$8,42 ; R$9,90 ;;;;;
5167;CREPE SALINA; R$8,93 ; R$10,50 ;;;;;
12699;SENSORIALLE; R$21,17 ; R$24,90 ;;;;;
10617;TACTEL; R$7,57 ; R$8,90 ;;;;;
11489;TRICOLINE PERIPAN; R$20,32 ; R$23,90 ;;;;;
11365;TRICOLINE CASA; R$16,07 ; R$18,90 ;;;;;
11772;TULLE GLITTER; R$8,42 ; R$9,90 ;;;;;
11932;TULLE ILUSION; R$12,67 ; R$14,90 ;;;;;
11892;TULLE MALHA; R$12,67 ; R$14,90 ;;;;;
12053;TULLE SHINE; R$12,67 ; R$14,90 ;;;;;
12174;TWO WAY; R$16,92 ; R$19,90 ;;;;;
12375;VISCOLINHO EST; R$25,42 ; R$29,90 ;;;;;
12376;VISCOLINHO TINTO; R$16,07 ; R$18,90 ;;;;;
12618;VISCOSE EST; R$25,42 ; R$29,90 ;;;;;
15429;VISCOSE TINTO; R$14,37 ; R$16,90 ;;;;;
13184;ZIBELINE; R$23,72 ; R$27,90 ;;;;;
2345;LINHO EGITO - 3,00 RS; R$33,92 ; R$39,90 ;;;;;
2358;LINHO BOUCLE - 3,00 RS; R$33,92 ; R$39,90 ;;;;;
2360;LINHO RUSTICO CROSS - 3,00 RS; R$27,97 ; R$32,90 ;;;;;
2350;LINHO VOIL FANCY - 3,00 RS; R$27,97 ; R$32,90 ;;;;;
2342;CHIFFON - 3,00 LARG RS; R$18,62 ; R$21,90 ;;;;;
1036;BLACK OUT - 2.80 LARG. - 100% POLIESTER RS; R$29,67 ; R$34,90 ;;;;;
2357;BLACK OUT VEGAS - 2,80 RS; R$36,47 ; R$42,90 ;;;;;
2354;BLACK OUT FLOCK RS; R$31,37 ; R$36,90 ;;;;;
2182;BLACK OUT FLAT 100% RS; R$29,67 ; R$34,90 ;;;;;
2514;VOIL GAZE - LINHO RS; R$33,92 ; R$39,90 ;;;;;
2510;VOIL CROSS - 3,00 RS; R$16,07 ; R$18,90 ;;;;;
2359;LINHO VOIL CREPADO - 3,00 RS; R$16,92 ; R$19,90 ;;;;;
2368;VOIL SELVAGEM 3,00 RS; R$16,92 ; R$19,90 ;;;;;
2348;VOIL GLACE - 2,80 RS; R$15,22 ; R$17,90 ;;;;;
2336;LINHO FLAME SUICO RS; R$16,92 ; R$19,90 ;;;;;
2355;LINHO NATURE RS; R$29,67 ; R$34,90 ;;;;;
13432;LINHO MOEMA RS; R$27,97 ; R$32,90 ;;;;;
14070;LINHO BORA BORA RS; R$28,82 ; R$33,90 ;;;;;
2347;VOIL CRISTAL; R$16,92 ; R$19,90 ;;;;;
1055;VOIL COMUM; R$9,27 ; R$10,90 ;;;;;
1007;OXFORD 3M; R$14,37 ; R$16,90 ;;;;;
1131;OXFORD SLUB; R$17,77 ; R$20,90 ;;;;;
1036;BLACKOUT 70%; R$21,17 ; R$24,90 ;;;;;
1948;BLACKOUT LINHO; R$50,92 ; R$59,90 ;;;;;
;MICROFIBRA FORRO 3M; R$8,42 ; R$9,90 ;;;;;
